"id_productos";"id_categorias";"desc_productos"
185;3;"RS_Pheni Desi Ghee 500gm"
186;4;"Huawei Honor 4X"
187;12;"AUDIONIC6-954217-513546"
188;1;"bata_leena-5176214-40-7"
189;7;"Tiraaz_Tm-01-001-M"
190;12;"Audionic_B-334"
191;2;"kcc_effect"
192;7;"bata_wein-8734881-44-10"
193;2;"itter_AB 1122"
194;7;"CU-0107-Slim Fit Small"
195;2;"itter_AB 1126"
196;2;"itter_AB 1125"
197;3;"HR_Soan Papdi 500g"
198;7;"stitchers_TnT 012-L"
199;1;"Ego_E02437-GN0-Green-XSM"
200;1;"Ref-Queen 5041-Black-38"
201;7;"B-power_8282391-44"
202;5;"dawlance_Health Zone Plus 30 - 1.5 Ton Air Conditioner"
203;14;"vitamin_Vita White"
204;5;"Rajesh_RAJ61"
205;8;"BO_topfastRc-yellow"
206;8;"Rajesh_Ben 10 Rail"
207;2;"kcc_jazzy"
208;4;"Samsung Galaxy S7 Edge"
209;8;"BO_racingjeeoRC-silver"
210;8;"Rajesh_Green Ben 10 Educational Computer"
211;8;"BO_nonRC-Jeep-Red"
212;8;"BO_blocks-small-1"
213;5;"osaka_3.5W LED BULB"
214;7;"Mochika_M0001125-8"
215;7;"Mochika_M0001125-12"
216;12;"Dany256564981654986456"
217;12;"Dany72474879523146357896"
218;3;"cr_REWARI CHAKWAL"
219;1;"AKL_A131128850_SS-19_Blue"
220;1;"ihijab_PN025"
221;6;"bed&rest_Danika 3D"
222;2;"VITAMIN_KOJIC ACID WHITENING CREAM"
223;2;"PHILIPS_HP8600_32"
224;5;"b&d_Citrus Juicer CJ650   "
225;2;"vitamin_Kojic Acid Whitening Face Wash"
226;9;"E TCF_Educate a child for a month-PKR 1250"
227;7;"bata_comfit-8614737-42-8"
228;2;"kcc_Cool Pocket Perfume"
229;3;"UK_Gift Box Mix Sweets 500 Gms"
230;7;"Dynasty_Dynasty Spark-Off-White"
231;5;"mitsubhisi_1.0 Ton - SRK-13CMK"
232;7;"Dynasty_Dynasty Spark-Grey"
233;3;"UK_Bangali Rasgulla Tin Pack  500 Gms"
234;3;"UK_Namkino Masala Sev 200 Gms"
235;3;"UK_ Namkino Daal Moong 200 Gms"
236;3;"UK_Bhel Puri 200 Gms"
237;3;"UK_Namkino Khat Mitha Mix 200 Gms"
238;1;"Ctees_Paris Butterflies Pouch"
239;7;"bata_comfit-8644502-42-8"
240;7;"Emo_SS-18755-41"
241;2;"itter_AB 1211"
242;1;"WE_TU2"
243;1;"bata_bags_9064517-Brown"
244;2;"sapil_Sapil Nancy Women 200ML"
245;7;"ajmery_TA-3"
246;7;"Emo-CT-24304 Green 8 Pocket Cargo Trouser-34"
247;3;"UK_Kala Jamun Tin Pack 500 Gms"
248;6;"tram_TT25125100"
249;8;"US-MSK-6-pink-2T"
250;1;"ihijab_PN041"
251;1;"asimjofaeanew_4A"
252;6;"tram_TT25128100"
253;5;"jackpot_JP-902"
254;1;"sanasafinaz_march16_10B-Nationwide Delivery"
255;3;"HR_Punjabi Tadka 200g"
256;3;"UK_Namkino Crunchy Nut Mix 200 Gms"
257;5;"Royal_Energy saver Fan 56 New Model"
258;7;"emo_Emo-MH-25104-M"
259;7;"urban_URT0025 -L"
260;7;"Emo-CT-24302 Brown Twill Cotton 8 Pocket Cargo Trouser-30"
261;7;"emo_Emo-MH-19734-M"
262;3;"UK_Namkino Mix Nimco 5 Pcs Gift Pack"
263;5;"dawlance_Refrigerator 9170WB Energy Saver"
264;3;"UK_Bangali Chum Chum Tin Pack  500 Gms"
265;6;"bed&rest_B3"
266;6;"tram_TT23080083"
267;7;"ajmery_BAT-3-S"
268;7;"UC_Dark Navy Plain Polo-XL"
269;7;"UC_Rust Plain Polo-XL"
270;7;"UC_Purple Plain Polo-XL"
271;7;"UC_Lagoon Plain Polo-XL"
272;11;"audionic9-542175-49576"
273;4;"shoppers stop_AndroidOTGAdaptor-7"
274;7;"sputnik_806/14A-8"
275;5;"Rajesh_White Wax Vac Ear Cleaner"
276;4;"Samsung Galaxy A7 710F (2016)"
277;7;"casio_MTP-1183A-2ADF"
278;7;"stitchers_TnT 034-L"
279;7;"qzs_Blue Cotton Broad Neck T-shirt"
280;4;"Apple iPhone 6S 16GB"
281;14;"vitamin_Milk Thistle Liver Formula"
282;7;"Q&Q_VW90-112Y"
283;7;"emo_MK-19113-S"
284;7;"Tiraaz_Tm-02-012-S"
285;7;"Tiraaz_Tm-02-016-S"
286;7;"Dynasty_Dynasty Spark-Royal Blue"
287;7;"Dynasty_Dynasty Spark-French Blue"
288;7;"Dynasty_Dynasty Spark-Brown"
289;7;"Emo_SS-24020-42"
290;9;"GBH_GS802-7"
291;7;"Mochika_M0001129-10"
292;3;"RS_Karachi Halwa Tin"
293;3;"cr_AJWA DATES (400 GM)"
294;2;"kcc_Sultanat Pocket Perfume"
295;4;"Haier G20"
296;11;"Eco Star_32U557"
297;12;"Dany6-954217-555652"
298;6;"kcc_lavender"
299;6;"kkc_Fayha King Air Freshener"
300;6;"kkc_Lavender King Air Freshener"
301;6;"kcc_rose"
302;2;"kcc_fresh"
303;5;"west point_WF-306"
304;3;"RS_Sohan Halwa_Tin-1000 GM"
305;4;"Huawei P8 lite"
306;12;"Audionic_LT-486"
307;7;"ajmery_1-AJ"
308;5;"alpina_Popcorn Maker SF-2608"
309;4;"Haier M108"
310;5;"Gree_24CZ8"
311;7;"hol_A-406M-42"
312;4;"Samsung Galaxy A3"
313;2;"PHILIPS_HP8105_29"
314;3;"RS_Baklawa 500gm"
315;3;"RS_Nan Khatai"
316;5;"philips_HD8323/01"
317;3;"cr_ALMOND PLAIN-500 GM"
318;5;"dawlance_Health Zone Plus 15 - 1 Ton Air Conditioner"
319;12;"Audionic_B-880"
320;5;"mm_AG-3017"
321;2;"VITAMIN_VITA HAIR TREATMENT"
322;14;"vitamin_Aloe Vera Plus"
323;12;"audionic6-954217-562582"
324;7;"MYWALET_MW-060-BROWN"
325;1;"WE_MA14"
326;1;"Teenz_E-1573"
327;8;"AT-TT-2"
328;8;"AT-MFNC-10"
329;8;"BB_KIDSHD_PIR"
330;8;"BB_KIDSHD_ BUL"
331;6;"JBS_SL-STOR-031"
332;8;"BO_nonRC-Jeep-Silver"
333;12;"AUDIONIC BT110 SPEAKER"
334;2;"sapil_Sapil Chichi Women 100ML"
335;1;"AKL_A131128777_SS-33_Yellow"
336;12;"Dany6-954217-691862"
337;8;"kke_SCF690_17-A2P-global-001"
338;7;"PucaM_SS-35-OLIVE BLACK-42"
339;7;"ajmery_SYB-519-43"
340;2;"Bold_Classic"
341;2;"Bold_Active"
342;7;"PucaM_atlas-grey-42"
343;14;"Life source_GS300"
344;2;"OPI_NLF16"
345;7;"salience_SK101-L"
346;4;"panasonic_3411"
347;3;"UK_Cake Rusk Cardamom 150 Gms"
348;8;"bb_WSTIV"
349;6;"KI_bedsheet-2050mkmmbs"
350;3;"Al Muhafiz Sohan Halwa Cashew"
351;12;"audionic_AH-70"
352;5;"Dawlance_MD 10 + DWB 600"
353;2;"kcc_social"
354;6;"kcc_smart"
355;6;"Rajesh_RAJ001"
356;3;"HR_Moong Dal 200g"
357;3;"UK_Karachi Halwa Tin Pack 400 Gms"
358;7;"emo_SS-17227-L"
359;7;"sst_Jessy-Regular fit-Large"
360;3;"BK5110500DG"
361;2;"kcc_Charming Perfumed Talcum Powder-100gm"
362;12;"sstop_etable"
363;7;"sst_Logic 2-Slim Fit-Large"
364;4;"samsung_ETA-U90JWSO_45"
365;7;"AKL_GMTP002_Earth Red-L"
366;5;"mm_AG-2049"
367;7;"UC_PP-004-L"
368;15;"liberty_9788174367181"
369;7;"casio_MTP-1302D-1A1VDF"
370;8;"Senorita_GAK-836-RED-34"
371;4;"Dany_6954217552453"
372;4;"dany_6954217942148"
373;2;"kcc_funky"
374;4;"Huawei_Y6 DS"
375;4;"iPhone SE-16GB"
376;10;"3m_NANOPAX"
377;9;"Gasonline-MPT-524-BEIGE-36"
378;7;"Ifsha_CU-0047"
379;3;"UK_Namkino Badshahi Mix 200 Gms"
380;3;"UK_Namkino Spicy Peanuts 200 Gms"
381;7;"Tiraaz_Tm-02-019-L"
382;8;"centrix_Scootify - Red Self Balancing Scooter"
383;12;"Audionic  BT125 Speaker"
384;7;"HOL_A-802T-39"
385;6;"BB_RCKBS_GARD"
386;3;"UK_Gift Box Habshi Halwa 500 Gms"
387;3;"UK_Habshi Halwa Tin Pack 400 Gms"
388;3;"UK_Pheni 400 Gms"
389;7;"UC_SP-042-L"
390;7;"emo_MJ-21916-36"
391;9;"Gasonline-MPT-560-GREY-30"
392;1;"AKL_A131128809_SS-87_Sea Green"
393;1;"AKL_A131130523_SS-185_Blue"
394;1;"AKL_A131128827_SS-118_Ivory"
395;2;"nabila_Nchant FOR Olive"
396;1;"AKL_DL-02-YELLOW"
397;3;"UK_Namkino Chatkhara Papdi 150 Gms"
398;5;"jackpot_JP-14"
399;4;"RUB_Kingston_16 gb Sd Card"
400;7;"B-power_8284384-42"
401;6;"Emotions_Emo-BS-28436"
402;8;"J&J_JJNR16"
403;8;"J&J_JJPS-007XL"
404;8;"J&J_JJNR12"
405;2;"nabila_Ngage FOR Honey"
406;6;"Truck Art Round metal tray"
407;7;"CK_530-Vest-XLarge"
408;7;"CK_530-Underwear-XLarge"
409;5;"closecomfort_PC8"
410;12;"edifier_XM6-PF"
411;7;"qzs_Black V-Neck T-Shirt"
412;4;"sm-SamsungC3520"
413;7;"qzs_V-neck by QZS Clothing"
414;9;"BO_4 Ft Sunset Glow Baby Swimming Pool"
415;7;"RT002-M"
416;7;"shubinak_SN-ERT-13-S - 34"
417;7;"shubinak_SN-ERT-13-grey-S - 34"
418;1;"AKL_A131128767_SS-25_Light Blue"
419;1;"AKL_A131130507_SS-161_Blue"
420;1;"Silkasia_Cream Stylish Embroidered Dress"
421;3;"UK_ Namkino Lajawab Mix 200 Gms"
422;4;"QMobile Bolt T50"
423;7;"shubinak_SN-ERT-13-grey-M - 36"
424;6;"kcc_bakheer"
425;7;"bata_comfit-8744557-41-7"
426;9;"JBS_WEN-043"
427;6;"JBS_TAT-173"
428;2;"Hstyle_HW-2016165"
429;7;"emo_Emo-VB-12 Black Blazer"
430;14;"vitamin_Ultra Gainer"
431;3;"BK1010200BR"
432;3;"UK_Gift Box Sohan Halwa 500 Gms"
433;3;"UK_Gulab Jamun Tin Pack  1000 Gms"
434;1;"AC_ac168-yellow"
435;7;"Emo_SS-21775-41"
436;7;"Hawks_A17"
437;7;"urban_URT0023-L"
438;2;"Bold_Fresh"
439;3;"BK5110250OR"
440;3;"BK5110500"
441;5;"Infinix Hot Note X551-1GB-Gold-Nationwide Delivery"
442;4;"Lenovo Zuk"
443;4;"Nokia Asha 105"
444;7;"bata_comfit-8613714-44-10"
445;1;"bata_leena-5161226-37-4"
446;7;"PucaM_SS-25-BLACK-41"
447;7;"PucaM_SS-2715-CAMEL-43"
448;6;"kkc_Rose King  Air Freshener"
449;1;"AC_110-white with blacck"
450;7;"hol_T-38-42"
451;7;"Am-PTV_VC-1029-M"
452;12;"Audionic_ LT-480 "
453;7;"sputnik_701/5-9"
454;7;"B-power_8282391-43"
455;7;"sputnik_701/D14-10"
456;2;"Hstyle_HW-2016156"
457;2;"Veet_1"
458;2;"kcc_Harmony Perfumed Talcum Powder-200gm"
459;14;"rute2_Vit B 50 Complex 50 Tablets"
460;14;"vitamin_Ultra Whey Protein"
461;7;"MYWALET_MW-033-D1-BLACK"
462;14;"vitamin_Royal Jelly 500"
463;14;"VITAMIN_HAIR SKIN & NAIL FORMULA"
464;2;"VITAMIN_WHITENING BB CREAM"
465;9;"alkhair_Black Seed Oil Softgel Capsules100  Cap bottle"
466;1;"ESPICO_050-Fancy Nylon Bra-Black-34"
467;6;"JBS_SL-STOR-017"
468;6;"JBS_SL-STOR-051"
469;6;"JBS_SL-STOR-024"
470;7;"sputnik_177/9-10"
471;12;"Audionic_DJ-106"
472;1;"sputnik_3444/10-9"
473;1;"ihijab_PN039"
474;14;"ajwa_Ajwa Seeds Powder"
475;14;"ajwa_Ajwa Dates Powder"
476;1;"ESPICO_Classic Cotton-Skin-42"
477;4;"samsung_EBF1A2GBU_8"
478;7;"Ajmery_BRR-590-L"
479;2;"HOS-m_DUNBM100"
480;2;"HOS-m_DVFCWM125"
481;3;"UK_Namkino Aaloo Sev 200 Gms"
482;2;"HOS_HBDRW90"
483;7;"PucaM_COOPER-NAVY-41"
484;7;"sputnik_741/14-8"
485;7;"Q&Q_RP00J002Y"
486;3;"HR_Bombay Mixture 200g"
487;7;"qzs_Black Mens V-neck T-shirt"
488;3;"UK_ Cake Rusk Cardamom 700 Gms"
489;12;"Audionic6-954217-516486"
490;3;"RS_Nimcolia-5pack"
491;7;"qzs_White V-Neck T-Shirt"
492;2;"Bold_Noir"
493;4;"QMobile Noir S3"
494;8;"Rajesh_Pink Dora Electric Piano Keyboard"
495;4;"Q MOBILE Noir X700 Pro"
496;11;"Samsung_40J5200"
497;7;"qzs_Silver Grey V-Neck Shirt"
498;1;"LALA_LFK-10"
499;1;"ESPICO_Seamless-Black-Free size"
500;7;"Ctees_Teddy Love Keychain"
501;7;"OHT_LGW-13-Black"
502;7;"Salience_SS110-M"
503;7;"sputnik_882/9-9"
504;7;"Ifsha_CU-0051"
505;4;"Apple iPhone 6 (16GB) Gold"
506;6;"KI_bedsheet-2154"
507;5;"R&I_eIcon Series 12000BTU"
508;2;"kcc_mature"
509;4;"Nokia 222"
510;12;"Audionic_ B-800"
511;7;"KC_209 White-XL"
512;8;"J&J_JJNR8"
513;6;"Maguari_TTHT-6"
514;5;"Elite_EDF-89R"
515;5;"Dawlance_DW-540 AF"
516;14;"vitamin_Super Yohimbe 1000"
517;14;"vitamin_Menopause Formula"
518;3;"HR_Hara Chiwda 200g"
519;2;"nabila_NGELIC FOR IVORY"
520;2;"Veet_2"
521;3;"cr_PUMPKIN SEEDS LARGE"
522;7;"CK_730-Vest-Large"
523;7;"CK_530-Underwear-Medium"
524;6;"Turbo_100159"
525;16;"redspot_9789810550127"
526;12;"Audionic6-954217-517827"
527;4;"samsung_B800BC_17"
528;6;"kcc_New York"
529;6;"kkc_Lemon Oasis Prickly Heat Powder"
530;1;"AC_75"
531;2;"KCC_OASIS LEMON"
532;1;"ESPICO_Classic Cotton-Skin-32"
533;1;"GBH-GL218-Fawn-11"
534;3;"cr_PAN MASALA ( SWEET)-200 GM"
535;4;"Samsung GALAXY NOTE-5"
536;2;"Veet_12"
537;10;"MEGUIAR_G9719"
538;10;"MEGUIAR_M0716"
539;2;"Atiqa_AO-3"
540;7;"MYWALET_MW-001-D2-D-BROWN"
541;8;"BO_DIY-Rc-Red"
542;8;"BO_topspeedRC-black"
543;1;"Farah_1-A"
544;7;"PucaM_SS-2715-GREY-43"
545;1;"AKL_A131130455_SS-145_Black"
546;7;"Turk & Fillmore Lazaretto Tan-46-12"
547;7;"sst_preservatif-Regular fit-Xlarge"
548;7;"Nz_6006-XL"
549;7;"Ajmery_BRR-590-XL"
550;7;"shubinak_SM-WWB39-14-cargo-XL - 40"
551;7;"renna_DC-DFB-GR"
552;16;"redspot_9789696230007"
553;16;"redspot_9789810445210"
554;16;"redspot_9789810517397"
555;16;"redspot_9789696230243"
556;6;"Eglo_13359"
557;4;"RUB_Rubian_Selfie Stick"
558;12;"Audionic_LT-489"
559;4;"Qmobile W15"
560;4;"Q MOBILE Noir W35"
561;7;"ajmery_TA-6"
562;7;"stitchers_TnT 021-L"
563;7;"stitchers_TnT 004-L"
564;7;"Rumi_257-Brown-L"
565;7;"Rumi_1024-Grey-L"
566;16;"CITY_White Shirt Half Sleeves Prep to X-8 - 10 yrs - Size 26"
567;7;"sputnik_133/14-8"
568;1;"bata_leena-5615458-39-6"
569;6;"Relaxsit_RS-57"
570;7;"MYWALET_MW-007-BLACK"
571;4;"QMobile Noir Z10"
572;5;"Rajesh_RAJ57"
573;1;"ihijab_PN037"
574;5;"dawlance_Reddish DW-115CHZ White"
575;3;"UK_Tea Rusk Sugar Free 220 Gms"
576;7;"Ctees_Paris Keychain"
577;3;"cr_ALMOND PLAIN-200 GM"
578;4;"Dany_Powerbank Pb- 42 "
579;3;"cr_CASHEW NUT ROASTED-200 GM"
580;3;"cr_PLUM IRANI (SWEET)-500 GM"
581;3;"cr_FIG-200 GM"
582;3;"cr_PEANUT ROASTED-200 GM"
583;3;"cr_PISTA SALTED-200 GM"
584;8;"J&J_JJWS-001"
585;8;"J&J_JJCM-003"
586;2;"Hstyle_HW-2016150"
587;2;"Hstyle_HW-2016159"
588;7;"Bjorn_WLBLBK005"
589;12;"Audionic X-BOOM 5 Black"
590;14;"vitamin_Prostate Support"
591;5;"GFC_Ceiling V.I.P"
592;4;"Fitbit_Surge"
593;2;"kcc_Almas Pocket Perfume"
594;7;"RB_VASJPLSF262005002-M"
595;1;"AKL_A131128708_SS-8_Pink"
596;6;"Turbo_100197"
597;6;"YC_ODD-CHP-DIP-PLT"
598;6;"Turbo_100184"
599;6;"JBS_TAT-037"
600;6;"L&L_LLHPL807"
601;6;"noritake_NT4277M"
602;6;"JBS_WEN-066"
603;9;"kansai_Frosted Glass"
604;6;"Turbo_100028"
605;6;"tram_TT23081005"
606;6;"Turbo_100120"
607;6;"Turbo_100057"
608;12;"Audionic_ B-770"
609;1;"shopingmania_Ruby Necklace & Earrings Set"
610;7;"sputnik_179/2-10"
611;12;"Dany39525871458523879523"
612;12;"AUDIONIC6-954217-548944"
613;10;"MEGUIAR_G10307"
614;3;"HR_Masala Moong Dal 200g"
615;3;"BK1080200CF"
616;7;"AM-Light Beige Suit APS-5100-Medium"
617;7;"AM-Sky Blue Shalwar Suit APS-5100-Medium"
618;7;"PucaM_SS-15-BROWN-44"
619;7;"AM-White Cotton Shalwar Suit  AES-1067-Medium"
620;12;"HP P1102 - White_18"
621;9;"shoppers stop_MagicGlass-3"
622;1;"AKL_A131130486_SS-183_Peach"
623;7;"sputnik_701/D14-11"
624;4;"Samsung Metro 312 SM-B312E"
625;16;"redspot_9789696230144"
626;16;"redspot_9789810841492"
627;16;"redspot_9789696230106"
628;16;"redspot_9810452144"
629;16;"redspot_9789810780159"
630;16;"redspot_9789810477189"
631;16;"redspot_9789696230069"
632;16;"redspot_9789696230205"
633;16;"redspot_9789810517359"
634;16;"redspot_9789696230137"
635;16;"redspot_9810824280"
636;16;"redspot_9810477198"
637;4;"Q MOBILE Noir W50"
638;1;"AKL_A131128810_SS-91_Green"
639;1;"AKL_A131130512_SS-164_Grey"
640;1;"amnaismail_AIL-377-B"
641;7;"ajmery_AJ-123-XL"
642;4;"QMobile Noir X350 White - LW"
643;8;"BB_KIDSHD_PRI"
644;2;"kcc_Social Pocket Perfume"
645;14;"rute2_Coenzyme Q-10 "
646;14;"Life source_GM-300"
647;11;"Lunar_smart"
648;3;"HR_Nimbu Masala 200g"
649;7;"CK_730-Vest-Medium"
650;2;"mau_111033"
651;7;"Emo_S-26858-42"
652;7;"UC_Mustard-tt-S"
653;2;"Hstyle_HW-2016175"
654;4;"samsung_ETA-U90JWSL_42"
655;11;"audionic6-954217-564364"
656;8;"BB_KIDSHD_HORS"
657;7;"PucaM_SS-2041-BLACK GREEN-41"
658;7;"PucaM_STARZ-NAVY -44"
659;2;"vitamin_Dark Circles"
660;14;"vitamin_Vita Zinc"
661;5;"osaka_24W SPIRAL"
662;6;"noritake_NT4276M"
663;13;"Karak_Honey 1 Kg"
664;5;"Rubian_usb-fan-08"
665;1;"bata_6616942-39-6"
666;16;"CBS_9780071701723"
667;16;"CBS_9780071464987"
668;6;"Fpakistan_FP040"
669;2;"mau_112936"
670;7;"Dynasty_Marvel By Dynasty-Off-White"
671;9;"Xenium_WA-201637"
672;1;"kreations_VN 10-M"
673;2;"Atiqa_ASLE-07"
674;9;"pny_OU3 -32GB"
675;5;"osaka_12.5W LED BULB"
676;7;"qzs_black & charcoal V shirt"
677;1;"AKL_A131128840_SS-44_Green"
678;1;"AKL_A131128726_SS-63_Beige"
679;1;"AKL_A131130488_SS-31_Peach"
680;12;"Audionic_LT-488"
681;12;"Audionic_Studio 4"
682;7;"dynasty_Snow Berry-Black"
683;1;"Teenz_E-H12"
684;14;"vitamin_Ultra Muscle"
