"id_ventas";"id_estados";"id_productos";"id_tipospago";"orden";"fecha_venta";"cantidad_ordenada";"precio";"descuento";"total"
211175;1;34;1;100147471;"7/1/2016";1;90;19;740
211176;1;35;1;100147471;"7/1/2016";1;850;181;740
211177;3;37;1;100147472;"7/1/2016";1;899;0;899
211179;2;38;3;100147473;"7/1/2016";1;7400;0;11000
211180;2;39;3;100147473;"7/1/2016";1;3600;0;11000
211182;1;40;1;100147474;"7/1/2016";1;143;78;168
211184;1;41;1;100147474;"7/1/2016";1;225;122;168
211185;1;42;1;100147475;"7/1/2016";1;4500;0;4500
211186;2;43;1;100147476;"7/1/2016";1;3156;0;6152
211187;2;44;1;100147476;"7/1/2016";1;2996;0;6152
211188;2;45;1;100147477;"7/1/2016";2;300;0;2210
211189;2;46;1;100147477;"7/1/2016";2;150;0;2210
211190;2;47;1;100147477;"7/1/2016";2;465;0;2210
211191;2;48;1;100147477;"7/1/2016";1;380;0;2210
211192;2;49;1;100147478;"7/1/2016";1;350;0;350
211193;1;50;1;100147479;"7/1/2016";1;425;0;425
211194;1;51;1;100147480;"7/1/2016";1;850;0;850
211196;1;52;1;100147481;"7/1/2016";1;251;0;251
211197;3;5;1;100147482;"7/1/2016";1;360;0;360
211198;1;53;1;100147483;"7/1/2016";1;510;0;835
211199;1;54;1;100147483;"7/1/2016";1;325;0;835
211200;1;55;1;100147484;"7/1/2016";1;300;0;300
211201;3;5;1;100147485;"7/1/2016";1;360;0;360
211202;3;56;1;100147486;"7/1/2016";1;30417;0;30417
211203;1;49;1;100147487;"7/1/2016";2;350;0;700
211204;1;57;1;100147488;"7/1/2016";1;45250;0;45250
211205;2;58;1;100147489;"7/1/2016";3;8100;0;24588
211206;2;59;1;100147489;"7/1/2016";2;144;0;24588
211207;1;60;1;100147490;"7/1/2016";1;5597;0;5597
211208;3;61;1;100147491;"7/1/2016";1;999;0;999
211209;5;62;1;100147492;"7/1/2016";1;4950;0;4950
211211;3;63;1;100147493;"7/1/2016";1;805;0;805
211212;1;5;1;100147494;"7/1/2016";1;360;0;360
211213;3;64;1;100147495;"7/1/2016";1;280;0;280
211214;2;65;1;100147496;"7/1/2016";1;1;0;1
211215;3;66;1;100147497;"7/1/2016";1;999;0;999
211217;1;5;1;100147498;"7/1/2016";1;360;0;360
211218;3;49;1;100147499;"7/1/2016";1;350;0;350
211219;3;49;1;100147500;"7/1/2016";1;350;0;350
211220;1;67;1;100147501;"7/1/2016";1;760;0;1195
211221;1;33;1;100147501;"7/1/2016";1;435;0;1195
211222;2;65;1;100147502;"7/1/2016";5;1;0;5
211223;2;65;1;100147503;"7/1/2016";2;1;0;2
211224;4;5;1;100147504;"7/1/2016";1;360;0;360
211225;2;65;1;100147505;"7/1/2016";1;1;0;1
211226;4;14;1;100147506;"7/1/2016";1;320;0;320
211227;1;33;1;100147507;"7/1/2016";1;435;0;1195
211228;1;67;1;100147507;"7/1/2016";1;760;0;1195
211229;4;3;1;100147508;"7/1/2016";1;240;0;240
211230;4;5;1;100147509;"7/1/2016";1;360;0;360
211231;3;68;1;100147510;"7/1/2016";1;1875;0;1875
211232;1;67;1;100147511;"7/1/2016";1;760;0;1195
211233;1;69;1;100147511;"7/1/2016";1;435;0;1195
211234;4;5;1;100147512;"7/1/2016";1;360;0;360
211235;4;5;1;100147513;"7/1/2016";1;360;0;360
211236;1;69;1;100147514;"7/1/2016";1;435;0;1195
211237;1;67;1;100147514;"7/1/2016";1;760;0;1195
211238;4;14;1;100147515;"7/1/2016";1;320;0;320
211239;1;70;1;100147516;"7/1/2016";1;4200;0;4200
211240;1;67;1;100147517;"7/1/2016";1;760;0;1195
211241;1;69;1;100147517;"7/1/2016";1;435;0;1195
211242;1;71;1;100147518;"7/1/2016";1;550;0;550
211244;1;72;1;100147519;"7/1/2016";1;1230;0;1230
211245;1;69;1;100147520;"7/1/2016";1;435;0;1195
211246;1;67;1;100147520;"7/1/2016";1;760;0;1195
211247;1;67;1;100147521;"7/1/2016";1;760;0;1195
211248;1;69;1;100147521;"7/1/2016";1;435;0;1195
211249;4;14;1;100147522;"7/1/2016";1;320;0;320
211250;4;14;1;100147523;"7/1/2016";1;320;0;320
211251;2;53;2;100147524;"7/1/2016";1;510;0;880
211252;2;73;2;100147524;"7/1/2016";1;370;0;880
211253;2;74;1;100147525;"7/1/2016";1;2;0;2
211254;4;14;1;100147526;"7/1/2016";1;320;0;320
211255;4;5;1;100147527;"7/1/2016";4;360;0;1440
211256;1;5;1;100147528;"7/1/2016";1;360;0;360
211257;1;14;1;100147529;"7/1/2016";1;320;0;320
211258;3;3;1;100147530;"7/1/2016";1;240;0;240
211259;2;49;1;100147531;"7/1/2016";1;350;0;350
211260;2;75;2;100147532;"7/1/2016";1;1950;0;2745
211262;2;76;2;100147532;"7/1/2016";1;795;0;2745
211264;1;77;1;100147533;"7/1/2016";1;4750;0;12150
211265;1;78;1;100147533;"7/1/2016";1;7400;0;12150
211266;1;14;1;100147534;"7/1/2016";1;320;0;320
211267;1;3;1;100147535;"7/1/2016";1;240;0;240
211268;3;79;5;100147536;"7/1/2016";1;520;0;520
211269;3;79;5;100147537;"7/1/2016";1;520;0;520
211270;1;14;1;100147538;"7/1/2016";1;320;0;320
211271;1;5;1;100147539;"7/1/2016";1;360;0;360
211272;1;5;1;100147540;"7/1/2016";1;360;0;360
211273;1;14;1;100147541;"7/1/2016";1;320;0;320
211274;1;3;1;100147542;"7/1/2016";1;240;0;240
211275;1;14;1;100147543;"7/1/2016";1;320;0;320
211276;1;53;2;100147544;"7/1/2016";1;510;0;880
211277;1;73;2;100147544;"7/1/2016";1;370;0;880
211278;1;5;1;100147545;"7/1/2016";1;360;0;360
211279;1;80;5;100147546;"7/1/2016";1;260;0;600
211280;1;81;5;100147546;"7/1/2016";1;260;0;600
211281;1;82;5;100147546;"7/1/2016";1;80;0;600
211282;1;14;1;100147547;"7/1/2016";1;320;0;320
211283;2;83;1;100147548;"7/1/2016";1;1;0;1
211284;1;80;5;100147549;"7/1/2016";1;260;0;600
211285;1;81;5;100147549;"7/1/2016";1;260;0;600
211286;1;82;5;100147549;"7/1/2016";1;80;0;600
211287;1;5;1;100147550;"7/1/2016";1;360;0;360
211288;1;5;1;100147551;"7/1/2016";1;360;0;360
211289;2;84;1;100147552;"7/1/2016";2;1950;0;3901
211291;2;65;1;100147552;"7/1/2016";1;1;0;3901
211292;1;5;1;100147553;"7/1/2016";1;360;0;360
211293;2;85;2;100147554;"7/1/2016";1;1450;0;1450
211295;1;5;1;100147555;"7/1/2016";1;360;0;360
211296;2;83;1;100147556;"7/1/2016";1;1;0;1
211297;1;5;1;100147557;"7/1/2016";1;360;0;360
211298;1;5;1;100147558;"7/1/2016";1;360;0;360
211299;3;86;1;100147559;"7/1/2016";1;3950;0;3950
211300;1;5;1;100147560;"7/1/2016";1;360;0;360
211301;3;80;5;100147561;"7/1/2016";1;260;0;600
211302;3;81;5;100147561;"7/1/2016";1;260;0;600
211303;3;82;5;100147561;"7/1/2016";1;80;0;600
211304;1;5;1;100147562;"7/1/2016";1;360;0;360
211305;1;5;1;100147563;"7/1/2016";1;360;0;360
211306;1;5;1;100147564;"7/1/2016";1;360;0;360
211307;1;5;1;100147565;"7/1/2016";1;360;0;360
211308;3;67;1;100147566;"7/1/2016";1;760;0;760
211309;1;5;1;100147567;"7/1/2016";1;360;0;360
211310;1;80;5;100147568;"7/1/2016";1;260;0;600
211311;1;81;5;100147568;"7/1/2016";1;260;0;600
211312;1;82;5;100147568;"7/1/2016";1;80;0;600
211313;1;87;1;100147569;"7/1/2016";1;425;0;1125
211314;1;45;1;100147569;"7/1/2016";1;300;0;1125
211315;1;88;1;100147569;"7/1/2016";1;190;0;1125
211316;1;89;1;100147569;"7/1/2016";1;210;0;1125
211317;1;5;1;100147570;"7/1/2016";1;360;0;360
211318;1;80;5;100147571;"7/1/2016";1;260;0;600
211319;1;81;5;100147571;"7/1/2016";1;260;0;600
211320;1;82;5;100147571;"7/1/2016";1;80;0;600
211321;2;90;1;100147572;"7/1/2016";1;350;0;350
211322;3;90;1;100147573;"7/1/2016";1;350;0;350
211323;3;67;1;100147574;"7/1/2016";1;760;0;760
211324;1;80;5;100147575;"7/1/2016";1;260;0;600
211325;1;81;5;100147575;"7/1/2016";1;260;0;600
211326;1;82;5;100147575;"7/1/2016";1;80;0;600
211327;3;5;1;100147576;"7/1/2016";1;360;0;360
211328;1;5;1;100147577;"7/1/2016";1;360;0;360
211329;1;91;1;100147578;"7/1/2016";1;280;0;280
211330;3;67;1;100147579;"7/1/2016";1;760;0;760
211331;1;5;1;100147580;"7/1/2016";1;360;0;360
211332;1;80;5;100147581;"7/1/2016";1;260;0;600
211333;1;81;5;100147581;"7/1/2016";1;260;0;600
211334;1;82;5;100147581;"7/1/2016";1;80;0;600
211335;1;5;1;100147582;"7/1/2016";1;360;0;360
211336;3;67;1;100147583;"7/1/2016";1;760;0;760
211337;1;5;1;100147584;"7/1/2016";1;360;0;360
211338;1;5;1;100147585;"7/1/2016";1;360;0;360
211339;1;5;1;100147586;"7/1/2016";1;360;0;360
211340;1;14;1;100147587;"7/1/2016";1;320;0;320
211341;1;5;1;100147588;"7/1/2016";1;360;0;360
211342;1;3;1;100147589;"7/1/2016";1;240;0;240
211343;1;49;1;100147590;"7/1/2016";1;350;200;150
211344;2;92;1;100147591;"7/1/2016";1;16460;0;16460
211345;1;93;1;100147592;"7/1/2016";1;599;0;599
211347;1;94;1;100147593;"7/1/2016";1;599;0;599
211349;1;5;1;100147594;"7/1/2016";1;360;0;360
211350;1;5;1;100147595;"7/1/2016";1;360;0;360
211351;1;5;1;100147596;"7/1/2016";1;360;0;360
211352;1;95;1;100147597;"7/1/2016";1;265;149;155
211353;1;96;1;100147597;"7/1/2016";1;90;51;155
211354;1;5;1;100147598;"7/1/2016";1;360;0;360
211355;1;97;1;100147599;"7/1/2016";1;120;0;120
211356;1;5;1;100147600;"7/1/2016";1;360;0;360
211357;1;5;1;100147601;"7/1/2016";1;360;0;360
211358;1;80;1;100147602;"7/1/2016";1;260;149;150
211359;1;98;1;100147602;"7/1/2016";1;90;51;150
211360;1;5;1;100147603;"7/1/2016";1;360;0;360
211361;1;99;1;100147604;"7/1/2016";1;250;0;250
211362;1;5;1;100147605;"7/1/2016";1;360;0;360
211363;1;100;1;100147606;"7/1/2016";1;25999;0;25999
211364;1;5;1;100147607;"7/1/2016";1;360;0;360
211365;1;14;1;100147608;"7/1/2016";1;320;0;920
211366;1;3;1;100147608;"7/1/2016";1;240;0;920
211367;1;5;1;100147608;"7/1/2016";1;360;0;920
211368;3;101;1;100147609;"7/1/2016";1;3900;0;3900
211369;1;5;1;100147610;"7/1/2016";1;360;0;360
211370;1;102;1;100147611;"7/1/2016";1;3600;0;3600
211371;1;5;1;100147612;"7/1/2016";1;360;0;360
211372;1;5;1;100147613;"7/1/2016";1;360;0;360
211373;3;103;1;100147614;"7/1/2016";1;450;0;450
211374;1;49;1;100147615;"7/1/2016";2;350;0;700
211375;1;5;1;100147616;"7/1/2016";1;360;0;360
211376;1;104;1;100147617;"7/1/2016";1;150;82;168
211377;1;105;1;100147617;"7/1/2016";1;143;78;168
211378;1;106;1;100147617;"7/1/2016";1;75;41;168
211379;1;5;1;100147618;"7/1/2016";1;360;0;360
211380;2;103;1;100147619;"7/1/2016";1;450;0;450
211381;1;5;1;100147620;"7/1/2016";1;360;0;360
211382;1;5;1;100147621;"7/1/2016";1;360;0;360
211383;1;5;1;100147622;"7/1/2016";1;360;0;360
211384;1;107;1;100147623;"7/1/2016";1;140;0;140
211385;1;49;1;100147624;"7/1/2016";1;350;0;350
211386;2;103;1;100147625;"7/1/2016";1;450;0;450
211387;2;108;1;100147626;"7/1/2016";1;550;0;900
211389;2;49;1;100147626;"7/1/2016";1;350;0;900
211390;1;109;1;100147627;"7/1/2016";1;1050;0;1050
211391;2;110;1;100147628;"7/1/2016";1;3750;0;3750
211392;1;111;1;100147629;"7/1/2016";1;455;0;455
211393;2;74;3;100147630;"7/1/2016";1;2;0;2
211394;2;87;1;100147631;"7/1/2016";1;425;0;425
211395;1;112;1;100147632;"7/1/2016";2;1335;0;2670
211396;3;113;1;100147633;"7/1/2016";1;10740;0;10740
211397;1;114;2;100147634;"7/1/2016";1;230;0;740
211398;1;115;2;100147634;"7/1/2016";1;230;0;740
211399;1;91;2;100147634;"7/1/2016";1;280;0;740
211400;5;116;1;100147635;"7/1/2016";1;300;0;1399
211401;5;117;1;100147635;"7/1/2016";1;300;0;1399
211402;5;118;1;100147635;"7/1/2016";1;799;0;1399
211403;1;119;1;100147636;"7/1/2016";1;480;0;480
211405;1;120;1;100147637;"7/1/2016";1;1200;200;1000
211407;3;121;1;100147638;"7/1/2016";1;4530;0;4530
211408;3;122;1;100147639;"7/1/2016";1;1890;0;1890
211409;1;123;1;100147640;"7/1/2016";1;80;0;80
211410;3;124;1;100147641;"7/1/2016";2;185;200;170
211411;3;74;1;100147642;"7/1/2016";1;2;0;8
211412;3;125;1;100147642;"7/1/2016";1;1;0;8
211413;3;126;1;100147642;"7/1/2016";1;5;0;8
211415;3;127;1;100147643;"7/1/2016";1;1350;0;1350
211416;3;128;1;100147644;"7/1/2016";1;2490;0;2490
211417;3;129;1;100147645;"7/1/2016";1;1650;0;1650
211419;2;130;6;100147646;"7/1/2016";1;1870;0;1870
211420;5;131;1;100147647;"7/1/2016";1;2050;0;2050
211422;1;132;4;100147648;"7/1/2016";1;995;0;0
211423;1;5;1;100147649;"7/1/2016";1;360;0;360
211424;1;5;1;100147650;"7/1/2016";6;360;0;2160
211425;1;49;1;100147651;"7/1/2016";1;350;0;975
211426;1;8;1;100147651;"7/1/2016";1;170;0;975
211427;1;133;1;100147651;"7/1/2016";1;170;0;975
211428;1;134;1;100147651;"7/1/2016";1;285;0;975
211429;1;14;1;100147652;"7/1/2016";1;320;0;320
211430;1;135;1;100147653;"7/1/2016";1;1099;0;1099
211432;1;3;1;100147654;"7/1/2016";1;240;0;240
211433;1;5;1;100147655;"7/1/2016";2;360;0;720
211434;1;14;1;100147656;"7/1/2016";2;320;0;640
211435;2;136;1;100147657;"7/1/2016";1;3290;0;3290
211437;1;3;1;100147658;"7/1/2016";2;240;0;480
211438;1;5;1;100147659;"7/1/2016";1;360;0;360
211439;1;14;1;100147660;"7/1/2016";1;320;0;320
211440;1;5;1;100147661;"7/1/2016";1;360;0;360
211441;1;14;1;100147662;"7/1/2016";1;320;0;320
211442;1;137;1;100147663;"7/1/2016";1;1690;0;1013
211443;1;138;1;100147663;"7/1/2016";1;500;0;1013
211444;1;139;1;100147663;"7/1/2016";1;2800;0;1013
211445;1;140;1;100147663;"7/1/2016";1;2550;0;1013
211446;1;141;1;100147663;"7/1/2016";1;570;0;1013
211447;1;142;1;100147663;"7/1/2016";1;903;0;1013
211449;1;143;1;100147664;"7/1/2016";1;150;0;150
211450;1;5;1;100147665;"7/1/2016";1;360;0;360
211451;1;14;1;100147666;"7/1/2016";1;320;0;320
211452;1;5;1;100147667;"7/1/2016";1;360;0;360
211453;1;5;1;100147668;"7/1/2016";1;360;0;360
211454;1;5;1;100147669;"7/1/2016";1;360;0;360
211455;1;5;1;100147670;"7/1/2016";1;360;0;360
211456;1;5;1;100147671;"7/1/2016";1;360;0;360
211457;1;5;1;100147672;"7/1/2016";1;360;0;360
211458;1;49;1;100147673;"7/1/2016";2;350;0;700
211459;1;5;1;100147674;"7/1/2016";1;360;0;360
211460;1;144;1;100147675;"7/1/2016";5;140;0;700
211461;3;14;1;100147676;"7/1/2016";1;320;0;320
211462;1;145;1;100147677;"7/1/2016";1;350;0;350
211463;1;14;1;100147678;"7/1/2016";1;320;0;320
211464;1;5;1;100147679;"7/1/2016";1;360;0;360
211465;3;14;1;100147680;"7/1/2016";1;320;0;320
211466;1;5;1;100147681;"7/1/2016";1;360;0;360
211467;1;5;1;100147682;"7/1/2016";1;360;0;360
211468;1;3;1;100147683;"7/1/2016";2;240;0;480
211469;1;146;1;100147684;"7/1/2016";1;180;0;323
211470;1;147;1;100147684;"7/1/2016";1;143;0;323
211471;1;5;1;100147685;"7/1/2016";1;360;0;360
211472;1;14;4;100147686;"7/1/2016";1;320;0;0
211473;1;148;1;100147687;"7/1/2016";1;1065;0;1065
211474;1;3;1;100147688;"7/1/2016";1;240;0;240
211475;1;3;1;100147689;"7/1/2016";1;240;0;240
211476;1;149;1;100147690;"7/1/2016";1;999;0;999
211478;3;150;1;100147691;"7/1/2016";1;55850;0;55850
211479;1;151;1;100147692;"7/1/2016";1;6500;0;6500
211480;3;152;1;100147693;"7/1/2016";1;399;0;399
211482;3;153;1;100147694;"7/1/2016";1;42860;0;42860
211483;1;5;1;100147695;"7/1/2016";1;360;0;360
211484;1;14;1;100147696;"7/1/2016";1;320;0;320
211485;1;3;1;100147697;"7/1/2016";1;240;0;240
211486;2;154;7;100147698;"7/1/2016";1;3250;0;3250
211487;1;155;1;100147699;"7/1/2016";1;775;0;775
211489;1;14;1;100147700;"7/1/2016";1;320;0;320
211490;1;5;1;100147701;"7/1/2016";1;360;0;360
211491;1;14;1;100147702;"7/1/2016";1;320;0;320
211492;1;3;1;100147703;"7/1/2016";1;240;0;240
211493;1;5;1;100147704;"7/1/2016";1;360;0;360
211494;1;91;1;100147705;"7/1/2016";1;280;0;280
211495;3;14;1;100147706;"7/1/2016";1;320;0;320
211496;1;156;1;100147707;"7/1/2016";1;1647;0;1647
211497;1;3;1;100147708;"7/1/2016";1;240;0;240
211498;1;5;1;100147709;"7/1/2016";1;360;0;360
211499;1;5;1;100147710;"7/1/2016";1;360;0;360
211500;1;5;1;100147711;"7/1/2016";1;360;0;360
211501;3;14;1;100147712;"7/1/2016";1;320;0;320
211502;1;14;1;100147713;"7/1/2016";1;320;0;320
211503;1;49;1;100147714;"7/1/2016";1;350;0;165
211504;1;5;1;100147715;"7/1/2016";1;360;0;360
211505;3;90;1;100147716;"7/1/2016";1;350;0;350
211506;1;14;1;100147717;"7/1/2016";1;320;0;320
211507;3;157;1;100147718;"7/1/2016";1;512;0;512
211508;1;158;1;100147719;"7/1/2016";1;120;0;360
211509;1;159;1;100147719;"7/1/2016";1;120;0;360
211510;1;160;1;100147719;"7/1/2016";1;120;0;360
211511;2;161;1;100147720;"7/1/2016";2;165;0;330
211512;1;162;1;100147721;"7/1/2016";1;640;0;640
211513;3;163;1;100147722;"7/1/2016";2;165;0;330
211514;2;164;2;100147723;"7/1/2016";1;1950;0;1950
211516;1;5;1;100147724;"7/1/2016";1;360;0;360
211517;1;165;1;100147725;"7/1/2016";1;144;0;144
211518;3;134;1;100147726;"7/1/2016";1;285;0;285
211519;1;49;1;100147727;"7/1/2016";1;350;0;350
211520;1;154;7;100147728;"7/1/2016";1;3250;0;3250
211521;2;166;7;100147729;"7/1/2016";1;375;0;375
211522;1;146;1;100147730;"7/1/2016";1;180;0;180
211523;2;167;1;100147731;"7/1/2016";1;1725;0;1725
211524;1;168;8;100147732;"7/1/2016";1;1330;0;1330
211525;2;169;1;100147733;"7/1/2016";1;5200;0;5200
211526;2;170;1;100147734;"7/1/2016";1;1350;0;1350
211527;2;170;1;100147735;"7/1/2016";1;1350;0;1350
211528;2;170;1;100147736;"7/1/2016";1;1350;0;1350
211529;1;5;1;100147737;"7/1/2016";1;360;0;360
211530;1;5;1;100147738;"7/1/2016";1;360;0;360
211531;3;171;1;100147739;"7/1/2016";1;8150;0;8150
211532;1;5;1;100147740;"7/1/2016";1;360;0;360
211533;1;5;1;100147741;"7/1/2016";1;360;0;360
211534;1;5;1;100147742;"7/1/2016";1;360;0;360
211535;1;5;1;100147743;"7/1/2016";1;360;0;360
211536;2;172;1;100147744;"7/1/2016";1;1499;0;3749
211537;2;173;1;100147744;"7/1/2016";1;2250;0;3749
211539;2;171;1;100147745;"7/1/2016";1;8150;0;8150
211540;1;5;1;100147746;"7/1/2016";1;360;0;360
211541;2;174;1;100147747;"7/1/2016";1;8300;0;17790
211542;2;175;1;100147747;"7/1/2016";1;9490;0;17790
211543;1;5;1;100147748;"7/1/2016";1;360;0;360
211544;1;5;1;100147749;"7/1/2016";1;360;0;360
211545;1;5;1;100147750;"7/1/2016";1;360;0;360
211546;1;5;1;100147751;"7/1/2016";1;360;0;360
211547;1;5;1;100147752;"7/1/2016";1;360;0;360
211548;1;14;1;100147753;"7/1/2016";1;320;0;320
211549;2;176;1;100147754;"7/1/2016";1;428;0;428
211550;1;5;1;100147755;"7/1/2016";1;360;0;360
211551;2;177;1;100147756;"7/1/2016";1;860;0;1160
211552;2;178;1;100147756;"7/1/2016";1;300;0;1160
211553;1;5;1;100147757;"7/1/2016";1;360;0;360
211554;1;5;1;100147758;"7/1/2016";1;360;0;360
211555;1;5;1;100147759;"7/1/2016";1;360;0;360
211556;5;179;1;100147760;"7/1/2016";1;1765;0;1765
211557;1;14;1;100147761;"7/1/2016";1;320;0;320
211558;1;14;1;100147762;"7/1/2016";1;320;0;320
211559;1;14;1;100147763;"7/1/2016";1;320;0;320
211560;1;14;1;100147764;"7/1/2016";1;320;0;320
211561;1;14;1;100147765;"7/1/2016";1;320;0;320
211562;1;14;1;100147766;"7/1/2016";1;320;0;320
211563;1;3;1;100147767;"7/1/2016";1;240;0;240
211564;1;14;1;100147768;"7/1/2016";1;320;0;320
211565;1;14;1;100147769;"7/1/2016";1;320;0;320
211566;1;3;1;100147770;"7/1/2016";1;240;0;240
211567;1;180;1;100147771;"7/1/2016";1;80;0;80
211568;3;181;1;100147772;"7/1/2016";1;999;0;2559
211569;3;182;1;100147772;"7/1/2016";1;1560;0;2559
211570;1;183;1;100147773;"7/1/2016";1;500;0;1049
211572;1;184;1;100147773;"7/1/2016";1;199;0;1049
211574;1;49;1;100147773;"7/1/2016";1;350;0;1049
211575;3;185;1;100147774;"7/1/2016";2;260;0;520
211576;3;186;1;100147775;"7/1/2016";1;24499;0;24499
211577;1;49;1;100147776;"7/1/2016";2;350;0;700
211578;1;53;1;100147777;"7/1/2016";2;510;0;1370
211579;1;49;1;100147777;"7/1/2016";1;350;0;1370
211580;2;187;1;100147778;"7/1/2016";1;540;0;540
211581;3;188;1;100147779;"7/1/2016";1;999;0;999
211583;2;189;1;100147780;"7/1/2016";1;2508;0;2508
211585;2;189;1;100147781;"7/1/2016";1;2508;0;2508
211587;1;190;1;100147782;"7/1/2016";1;1900;0;1100
211588;2;191;1;100147783;"7/1/2016";1;140;0;140
211589;2;59;1;100147784;"7/1/2016";1;144;0;144
211590;3;192;1;100147785;"7/1/2016";1;1199;0;1199
211592;1;193;1;100147786;"7/1/2016";1;800;0;800
211593;2;194;6;100147787;"7/1/2016";1;1295;0;1295
211595;1;195;1;100147788;"7/1/2016";1;800;0;800
211596;3;14;1;100147789;"7/1/2016";1;320;0;320
211597;1;196;1;100147790;"7/1/2016";1;640;0;640
211598;1;5;1;100147791;"7/1/2016";1;360;0;360
211599;1;3;1;100147792;"7/1/2016";1;240;0;240
211600;1;14;1;100147793;"7/1/2016";1;320;0;320
211601;1;3;1;100147794;"7/1/2016";1;240;0;240
211602;1;3;1;100147795;"7/1/2016";1;240;0;240
211603;1;3;1;100147796;"7/1/2016";1;240;0;240
211604;1;3;1;100147797;"7/1/2016";1;240;0;240
211605;1;3;1;100147798;"7/1/2016";1;240;0;240
211606;1;3;1;100147799;"7/1/2016";1;240;0;240
211607;1;3;1;100147800;"7/1/2016";1;240;0;240
211608;1;197;1;100147801;"7/1/2016";1;655;0;655
211609;2;198;1;100147802;"7/1/2016";3;1999;0;5997
211611;1;3;1;100147803;"7/1/2016";1;240;0;240
211612;2;199;1;100147804;"7/1/2016";1;2750;0;5445
211614;2;200;1;100147804;"7/1/2016";1;2695;0;5445
211616;2;201;1;100147805;"7/1/2016";1;2499;0;2499
211618;2;202;1;100147806;"7/1/2016";1;37550;0;37550
211619;1;203;1;100147807;"7/1/2016";3;960;0;2880
211620;1;112;1;100147808;"7/1/2016";1;1335;0;1335
211621;3;204;1;100147809;"7/1/2016";1;680;0;680
211622;1;5;1;100147810;"7/1/2016";1;360;0;360
211623;1;5;1;100147811;"7/1/2016";1;360;0;360
211624;1;5;1;100147812;"7/1/2016";1;360;0;360
211625;1;205;1;100147813;"7/1/2016";1;490;300;190
211626;2;53;2;100147814;"7/1/2016";1;510;0;510
211627;1;5;1;100147815;"7/1/2016";1;360;0;360
211628;1;5;1;100147816;"7/1/2016";1;360;0;360
211629;1;206;1;100147817;"7/1/2016";1;400;300;100
211630;1;145;1;100147818;"7/1/2016";1;350;0;350
211631;1;14;1;100147819;"7/1/2016";1;320;0;320
211632;1;207;1;100147820;"7/1/2016";1;140;0;140
211633;2;208;1;100147821;"7/1/2016";1;88999;0;88999
211634;3;209;1;100147822;"7/1/2016";1;790;300;490
211635;1;210;1;100147823;"7/1/2016";1;670;300;370
211636;1;211;1;100147824;"7/1/2016";1;320;157;310
211637;1;212;1;100147824;"7/1/2016";1;290;143;310
211638;2;213;1;100147825;"7/1/2016";3;188;0;564
211639;1;151;1;100147826;"7/1/2016";1;6500;0;6500
211640;5;214;1;100147827;"7/1/2016";1;1913;0;1913
211642;5;215;1;100147828;"7/1/2016";1;1913;0;1913
211644;1;216;1;100147829;"7/1/2016";1;100;55;165
211645;1;217;1;100147829;"7/1/2016";1;65;36;165
211646;1;34;1;100147829;"7/1/2016";1;90;49;165
211647;1;218;1;100147829;"7/1/2016";1;110;60;165
